Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
<<<<<<< HEAD
1;24-02-202311:27:52;61;94;37;6573.238;1920;160.08;56;64.063;4300.001;11489;31.6;71.071;96.5;Base
2;24-02-202311:27:53;61;93;36;6688.434;1905;160.468;59;76.302;4300.001;11508;33.7;47.808;96.4;Base
3;24-02-202311:27:54;62;100;40;6768.691;1912;164.986;54;62.76;4300.001;11606;33.5;35.811;96.3;Base
4;24-02-202311:27:55;61;93;37;6886.879;1920;160.529;58;61.002;4300;11543;30.3;50.677;96.3;Base
5;24-02-202311:27:56;61;94;38;6963.441;1905;161.091;55;57.699;4300;11512;31.7;52.465;96.2;Base
6;24-02-202311:27:57;62;100;42;6963.441;1912;167.32;50;45.864;4300;11495;32.1;35.967;96.2;Base
7;24-02-202311:27:58;61;94;39;6979.566;1920;159.444;56;36.548;4300.001;11620;29.6;52.214;96.1;Base
8;24-02-202311:27:59;62;100;43;6990.254;1920;160.625;53;48.958;4300.001;11604;31.4;51.596;96;Base
9;24-02-202311:28:00;62;93;39;7001.254;1912;162.434;56;40.365;4300;11657;31;48.798;96;Base
10;24-02-202311:28:01;61;99;43;7020.066;1912;161.309;54;47.917;4300;11763;31.8;50.169;95.9;Base
11;24-02-202311:28:02;62;97;41;7020.066;1905;167.138;53;45.008;4300.001;11820;32;54.193;95.8;Base
12;24-02-202311:28:03;62;98;41;6931.066;1920;162.936;58;52.865;4300.001;11873;30.1;57.053;95.8;Base
13;24-02-202311:28:04;62;99;42;6931.066;1905;166.424;49;54.688;4299.999;11878;30.7;55.547;95.7;Base
14;24-02-202311:28:05;62;97;42;6931.066;1920;160.808;52;42.708;4299.999;12038;29.7;55.853;95.6;Base
15;24-02-202311:28:06;62;96;41;6947.191;1912;166.848;54;41.406;4300.001;12071;29.5;58.856;95.6;Base
16;24-02-202311:28:07;62;97;43;6947.191;1912;161.323;48;40.104;4300.001;12079;30.1;57.789;95.5;Base
17;24-02-202311:28:08;62;95;42;6952.566;1912;165.716;56;45.094;4300;12046;30.7;57.05;95.5;Base
18;24-02-202311:28:10;62;98;45;6968.691;1897;166.458;58;43.88;4300;12126;34.3;53.403;95.3;Base
19;24-02-202311:28:11;62;99;46;6979.691;1897;164.995;57;50.296;4300;12056;33.8;52.812;95.3;Base
20;24-02-202311:28:12;62;97;46;6979.691;1897;168.626;53;38.167;4300.001;12054;31.6;55.703;95.2;Base
21;24-02-202311:28:13;63;97;47;6979.691;1897;169.611;52;43.49;4300.001;12152;33.3;55.187;95.2;Base
22;24-02-202311:28:14;62;97;46;6995.816;1905;169.407;57;41.571;4300;12065;32.2;55.161;95.1;Base
23;24-02-202311:28:15;62;99;47;7011.816;1912;165.696;57;49.219;4300;12018;31.6;58.089;95;Base
24;24-02-202311:28:16;62;99;47;6999.691;1897;169.537;54;41.146;4300;12147;32.9;55.854;95;Base
25;24-02-202311:28:17;63;97;46;7015.691;1897;168.742;52;43.555;4300.001;12113;33.4;54.873;94.9;Base
26;24-02-202311:28:18;63;99;46;7003.816;1897;167.454;54;41.146;4300;12058;33.1;54.341;94.9;Base
27;24-02-202311:28:19;63;98;47;7019.816;1897;169.147;51;42.1;4300;11993;33.4;54.627;94.8;Base
28;24-02-202311:28:20;63;99;47;7003.816;1905;168.402;57;43.49;4300;12148;34.1;52.638;94.7;Base
29;24-02-202311:28:21;63;98;46;7009.316;1897;167.094;53;46.634;4300;12107;35.1;51.304;94.7;Base
30;24-02-202311:28:22;63;99;47;7030.816;1897;171.7;53;43.422;4300.001;12056;35.2;52.15;94.6;Base
31;24-02-202311:28:23;63;98;45;7025.816;1897;168.099;53;43.042;4300.001;11996;34.8;50.983;94.6;Base
32;24-02-202311:28:24;63;99;45;7041.941;1912;165.828;51;41.406;4300.001;12166;33.2;53.795;94.5;Base
33;24-02-202311:28:25;63;100;44;7050.145;1912;166.44;53;43.229;4300;12100;31.9;54.485;94.5;Base
34;24-02-202311:28:26;63;100;43;7028.52;1897;165.254;58;46.066;4300;12034;31.5;56.028;94.4;Base
35;24-02-202311:28:27;62;93;40;7024.52;1920;160.368;56;39.323;4300;12056;28.4;53.826;94.3;Base
36;24-02-202311:28:28;63;93;40;7004.27;1905;169.735;49;39.193;4300.001;12138;28.5;61.15;94.3;Base
37;24-02-202311:28:29;63;98;43;7013.77;1897;165.988;49;46.615;4300.001;12071;29.4;54.435;94.2;Base
38;24-02-202311:28:30;63;99;43;6885.27;1912;168.267;54;43.687;4300.001;11997;28.8;57.896;94.2;Base
39;24-02-202311:28:32;63;100;44;6901.27;1920;165.269;52;45.573;4300;12096;27.9;57.369;94;Base
40;24-02-202311:28:33;62;95;41;6885.27;1920;161.064;50;45.573;4300;11894;26.9;62.723;94;Base
41;24-02-202311:28:34;63;97;41;6885.27;1920;163.436;50;45.313;4300;11914;26.6;61.466;93.9;Base
42;24-02-202311:28:35;63;95;39;6885.27;1920;164.187;48;46.615;4300;12081;27.8;60.415;93.8;Base
43;24-02-202311:28:36;63;99;41;6885.27;1920;163.264;50;46.094;4300;12038;27.9;61.113;93.8;Base
44;24-02-202311:28:37;63;96;41;6885.27;1920;165.025;54;51.042;4300;11912;29.6;53.299;93.7;Base
45;24-02-202311:28:38;63;95;40;6901.27;1912;163.467;52;49.219;4300;11974;30.4;55.06;93.7;Base
46;24-02-202311:28:39;63;96;41;6901.77;1912;166.904;54;46.875;4300;12109;30.8;54.084;93.6;Base
47;24-02-202311:28:40;63;97;42;6901.848;1897;165.504;53;45.573;4300;11900;30.5;54.496;93.5;Base
48;24-02-202311:28:41;63;97;42;6901.848;1897;168.66;56;51.042;4300;11937;30.7;53.892;93.5;Base
49;24-02-202311:28:42;63;96;41;6902.426;1920;163.896;56;51.563;4300.001;12055;29.8;51.427;93.4;Base
50;24-02-202311:28:43;62;97;42;6901.926;1920;161.09;52;48.958;4300;11999;30.1;57.694;93.4;Base
51;24-02-202311:28:44;63;96;40;6901.926;1920;164.24;51;47.656;4300;12008;29.8;54.308;93.3;Base
52;24-02-202311:28:45;63;96;39;7077.988;1897;162.132;56;46.094;4300;11974;31.5;51.437;93.3;Base
53;24-02-202311:28:46;63;94;39;7061.988;1905;167.769;57;44.271;4300.001;12023;30.2;53.851;93.2;Base
54;24-02-202311:28:47;63;97;40;7096.926;1912;165.806;53;49.479;4300.001;12035;30.4;54.821;93.1;Base
55;24-02-202311:28:48;63;97;40;7096.926;1920;161.075;54;44.838;4300.001;11939;29.5;56.863;93.1;Base
56;24-02-202311:28:49;63;94;39;7102.426;1897;167.539;50;47.656;4300;11955;29.7;57.06;93;Base
57;24-02-202311:28:50;63;95;39;7117.488;1920;161.501;54;48.181;4300;12123;29.5;53.806;93;Base
58;24-02-202311:28:52;63;95;39;7117.488;1920;160.878;54;50.243;4300;11974;30.7;54.775;92.8;Base
59;24-02-202311:28:53;63;98;42;7133.676;1912;156.864;54;50.032;4300;12034;30.3;55.46;92.8;Base
60;24-02-202311:28:54;63;92;39;7133.676;1897;158.292;58;47.917;4300.001;12085;30;52.929;92.7;Base
61;24-02-202311:28:55;62;97;41;7152.363;1920;159.653;55;51.563;4300.001;12010;29.9;51.945;92.7;Base
62;24-02-202311:28:56;63;94;40;7152.426;1897;164.649;51;44.271;4300;11997;29.6;51.666;92.6;Base
63;24-02-202311:28:57;63;98;42;7152.363;1920;159.569;56;47.135;4300;12096;29.3;54.483;92.6;Base
64;24-02-202311:28:58;63;95;41;7152.363;1905;165.209;53;46.875;4300.001;12107;29.5;53.007;92.5;Base
65;24-02-202311:28:59;63;92;40;7152.426;1897;166.837;52;50.781;4300.001;12059;29.3;54.744;92.4;Base
66;24-02-202311:29:00;63;94;40;7152.426;1912;159.337;53;46.354;4300;12022;29.5;51.917;92.4;Base
67;24-02-202311:29:01;63;91;39;7156.488;1897;162.394;53;49.969;4300.001;12005;30.9;52.491;92.3;Base
68;24-02-202311:29:02;63;91;39;7156.613;1912;167.805;53;46.066;4299.999;12046;29.3;54.92;92.3;Base
69;24-02-202311:29:03;63;97;42;7156.551;1920;168.337;56;48.438;4299.999;12042;29.8;53.458;92.2;Base
70;24-02-202311:29:04;63;96;42;7173.051;1905;166.705;52;46.615;4300.001;12050;28.8;54.018;92.2;Base
71;24-02-202311:29:05;63;94;41;7173.113;1897;161.502;53;47.917;4300.001;12147;29.5;53.947;92.1;Base
72;24-02-202311:29:06;63;96;40;7309.488;1912;165.843;57;52.083;4300.001;12118;29.3;55.448;92;Base
73;24-02-202311:29:07;63;94;39;7336.238;1912;166.807;57;64.063;4299.999;12039;30.1;56.142;92;Base
74;24-02-202311:29:08;63;92;38;7353.863;1905;162.273;53;46.615;4299.999;12096;30.5;54.352;91.9;Base
75;24-02-202311:29:09;63;93;38;7363.613;1920;161.494;54;48.177;4300.001;12141;29.9;52.415;91.9;Base
76;24-02-202311:29:10;63;93;39;7364.113;1920;157.503;54;44.581;4300.001;12097;30.5;53.88;91.8;Base
77;24-02-202311:29:11;63;98;40;7396.676;1912;163.294;58;46.595;4300;12056;30.8;54.682;91.8;Base
78;24-02-202311:29:12;63;100;42;7395.676;1920;164.838;53;48.177;4300;12156;30.3;54.39;91.7;Base
79;24-02-202311:29:13;63;92;38;7396.176;1912;159.368;57;46.615;4300.001;12172;30.2;52.515;91.7;Base
80;24-02-202311:29:14;63;100;41;7396.676;1912;160.349;56;43.229;4300;12112;28.5;56.001;91.6;Base
81;24-02-202311:29:15;63;94;38;7396.676;1920;163.032;53;46.377;4300;12059;29.4;56.049;91.5;Base
82;24-02-202311:29:16;63;99;41;7396.113;1920;166.275;53;43.422;4300.001;12193;29.9;52.697;91.5;Base
83;24-02-202311:29:17;63;100;41;7390.113;1912;166.395;52;50.521;4300.001;12138;33.9;47.065;91.4;Base
84;24-02-202311:29:18;63;100;41;7403.113;1920;165.955;54;49.713;4300;12078;33.9;49.625;91.4;Base
85;24-02-202311:29:19;63;94;36;7383.363;1912;164.888;54;46.859;4300.001;12074;31.4;52.524;91.3;Base
86;24-02-202311:29:20;62;93;41;7375.363;1912;160.251;58;44.531;4300.001;12169;33.3;47.305;91.3;Base
87;24-02-202311:29:21;63;99;43;7247.363;1912;164.521;55;52.344;4299.999;12123;31.7;46.727;91.2;Base
88;24-02-202311:29:22;63;92;41;7282.301;1905;157.801;51;50.739;4300.002;12085;30.4;52.417;91.2;Base
89;24-02-202311:29:23;62;94;42;7422.176;1920;160.562;53;46.206;4299.999;12003;28.5;55.52;91.1;Base
90;24-02-202311:29:24;63;89;39;7426.176;1905;158.13;54;46.525;4299.999;12166;28.5;51.72;91.1;Base
91;24-02-202311:29:25;63;97;43;7446.238;1920;161.183;56;50.296;4300;12105;28.5;41.343;91;Base
92;24-02-202311:29:26;62;89;39;7446.238;1920;156.481;53;50;4300.002;12038;27.8;42.802;90.9;Base
93;24-02-202311:29:27;62;87;38;7446.238;1912;159.451;53;50.226;4300.002;11991;26.9;43.317;90.9;Base
94;24-02-202311:29:28;62;89;39;7446.363;1920;159.465;51;47.396;4300;12151;27.2;43.238;90.8;Base
95;24-02-202311:29:29;62;90;39;7451.863;1912;153.202;54;55.055;4300;12078;28.3;41.268;90.8;Base
96;24-02-202311:29:30;63;94;40;7470.488;1897;154.674;59;53.125;4300;12019;30.9;39.522;90.7;Base
97;24-02-202311:29:31;62;91;39;7490.301;1920;156.178;53;51.509;4299.999;12155;29.9;36.998;90.7;Base
98;24-02-202311:29:32;62;98;42;7504.926;1920;159.716;53;50;4299.999;12132;30.8;40.394;90.6;Base
99;24-02-202311:29:33;63;96;41;7506.051;1920;164.288;54;50.032;4300.001;11952;30.8;38.179;90.6;Base
100;24-02-202311:29:34;62;93;39;7509.676;1920;157.435;52;57.031;4300.001;11973;31.6;39.565;90.5;Base
101;24-02-202311:29:35;63;96;41;7513.801;1920;163.044;58;58.073;4300;12128;31.9;39.249;90.5;Base
102;24-02-202311:29:36;62;91;38;7513.801;1920;156.134;55;52.865;4300;12104;31.5;37.665;90.4;Base
