Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
53;24-02-202316:05:25;60;99;28;6023.102;1920;139.2;55;88.802;4300.001;12487;56.3;20.489;50;Base
54;24-02-202316:05:26;60;99;28;6026.379;1920;139.722;57;95.313;4300.001;12415;54.5;20.655;50;Base
55;24-02-202316:05:27;60;99;28;6030.137;1920;138.794;53;82.031;4300.001;12381;53.7;20.811;50;Base
56;24-02-202316:05:28;60;99;29;6028.801;1920;142.263;54;74.479;4300.001;12449;51.8;22.496;50;Base
57;24-02-202316:05:29;60;99;29;6029.164;1920;140.175;52;73.958;4300.002;12474;51.5;21.461;50;Base
58;24-02-202316:05:30;60;99;28;6029.227;1920;139.265;53;73.958;4300.002;12441;51.9;21.036;50;Base
59;24-02-202316:05:31;60;99;28;6037.852;1920;138.737;56;96.094;4300.001;12426;52.2;21.653;50;Base
60;24-02-202316:05:32;60;99;28;6035.535;1920;138.728;55;79.427;4300.001;12538;52.9;20.678;50;Base
61;24-02-202316:05:33;60;98;27;6031.832;1920;138.045;52;78.385;4300.001;12507;53.7;22.627;50;Base
62;24-02-202316:05:34;60;99;27;6031.77;1920;134.396;56;82.031;4300;12593;54.5;20.231;50;Base
63;24-02-202316:05:35;60;99;27;6037.707;1920;137.777;57;97.917;4300;12526;54.1;20.735;50;Base
64;24-02-202316:05:36;60;99;28;6037.707;1920;140.371;55;86.979;4300.001;12675;53.1;21.082;50;Base
65;24-02-202316:05:37;60;99;28;6025.715;1920;138.489;55;90.625;4300.001;12653;52.3;22.995;50.1;Base
66;24-02-202316:05:38;60;99;27;6025.859;1920;137.531;58;94.531;4300.001;12510;51.8;23.385;50.1;Base
67;24-02-202316:05:39;60;99;28;6026.141;1920;138.269;53;97.947;4300;12447;52;21.449;50.1;Base
68;24-02-202316:05:40;60;99;28;6026.141;1920;141.435;54;70.573;4300;12569;53.3;19.97;50.1;Base
69;24-02-202316:05:41;60;99;28;6026.141;1920;137.292;54;76.302;4300.002;12515;53.4;20.307;50.1;Base
70;24-02-202316:05:42;60;99;27;6033.871;1920;136.625;58;92.708;4300.001;12460;49.5;21.791;50.1;Base
71;24-02-202316:05:43;60;99;28;6033.871;1920;142.212;57;82.552;4300.001;12503;49.4;22.676;50.1;Base
72;24-02-202316:05:44;60;99;29;6027.996;1920;139.859;54;75.677;4300.001;12517;50.5;23.975;50.1;Base
73;24-02-202316:05:45;60;100;29;6031.832;1920;141.062;55;77.344;4300.001;12468;49.9;21.997;50.1;Base
74;24-02-202316:05:46;60;99;28;6030.59;1920;141.979;55;73.698;4300.001;12428;49.3;21.988;50.1;Base
75;24-02-202316:05:47;60;99;28;6035.293;1920;139.489;55;80.729;4300.001;12561;49.5;22.598;50.1;Base
76;24-02-202316:05:48;60;99;28;6035.168;1920;137.56;58;98.438;4300.001;12497;49.3;24.712;50.1;Base
77;24-02-202316:05:49;60;99;29;6032.008;1920;140.65;54;78.192;4300.001;12477;51.9;21.404;50.1;Base
78;24-02-202316:05:50;60;99;29;6032.008;1920;138.683;55;73.297;4300.001;12453;52.5;20.694;50.1;Base
