02;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Memoryclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateMin;FramerateAvg;FramerateMax;Framerate1%Low;Fanspeed2;Fantachometer2
80;24-02-202316:33:44;63.000;99.000;25.000;6086.891;1920.000;7500.999;120.812;55.000;88.948;4300.001;12129.000;61.100;21.786;0.000;44.300;451.200;0.000;0.000;802.000
80;24-02-202316:33:45;62.000;97.000;24.000;6095.016;1920.000;7500.999;118.426;56.000;92.953;4300.002;12133.000;59.600;23.211;0.000;44.400;451.200;0.000;0.000;996.000
80;24-02-202316:33:46;62.000;97.000;24.000;6101.516;1920.000;7500.999;121.278;56.000;99.471;4299.995;12106.000;59.000;22.329;0.000;44.500;451.200;0.000;0.000;1089.000
80;24-02-202316:33:47;62.000;99.000;26.000;6093.020;1920.000;7500.999;123.082;55.000;93.490;4299.995;12189.000;61.900;19.149;0.000;44.600;451.200;0.000;0.000;1139.000
80;24-02-202316:33:48;62.000;99.000;26.000;6103.270;1920.000;7500.999;123.552;55.000;92.188;4300.005;12163.000;64.000;19.482;0.000;44.700;451.200;0.000;0.000;1166.000
80;24-02-202316:33:49;62.000;99.000;26.000;6103.457;1920.000;7500.999;120.238;55.000;91.927;4300.002;12131.000;64.000;23.914;0.000;44.800;451.200;0.000;33.000;1188.000
80;24-02-202316:33:50;62.000;95.000;24.000;6087.242;1920.000;7500.999;120.693;56.000;99.740;4300.002;12118.000;60.600;25.778;0.000;44.900;451.200;0.000;33.000;1210.000
80;24-02-202316:33:51;62.000;99.000;24.000;6102.223;1920.000;7500.999;122.036;55.000;99.219;4300.001;12203.000;63.600;20.710;0.000;45.000;451.200;0.000;33.000;1227.000
80;24-02-202316:33:52;61.000;93.000;22.000;6095.957;1920.000;7500.999;117.811;56.000;97.656;4300.000;12241.000;61.900;21.933;0.000;45.100;451.200;0.000;33.000;1255.000
80;24-02-202316:33:53;62.000;96.000;23.000;6099.797;1920.000;7500.999;123.310;58.000;100.000;4300.001;12097.000;59.400;23.844;0.000;45.200;451.200;0.000;33.000;1266.000
80;24-02-202316:33:54;61.000;93.000;24.000;6031.082;1920.000;7500.999;126.405;56.000;100.000;4300.001;12036.000;58.100;55.228;0.000;45.300;451.200;0.000;33.000;1273.000
