02, Datetime, GPU temperature     ,GPU usage           ,FB usage            ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Fan speed 2         ,Fan tachometer 2
80, 24-02-2023 10:13:56, 57.000              ,55.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.585             ,45.000              ,9.115               ,4299.999            ,6327.000            ,60.100              ,16.952              ,0.100               ,42.600              ,2673.700            ,0.200               ,41.000              ,1609.000            
80, 24-02-2023 10:13:57, 57.000              ,51.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.046             ,45.000              ,10.156              ,4299.999            ,6326.000            ,60.100              ,17.209              ,0.100               ,42.600              ,2673.700            ,0.200               ,41.000              ,1592.000            
80, 24-02-2023 10:13:58, 57.000              ,51.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.938             ,45.000              ,9.777               ,4299.999            ,6325.000            ,60.100              ,16.942              ,0.100               ,42.600              ,2673.700            ,0.200               ,41.000              ,1587.000            
80, 24-02-2023 10:13:59, 57.000              ,55.000              ,14.000              ,3803.566            ,1935.000            ,7500.999            ,113.518             ,44.000              ,9.375               ,4299.999            ,6327.000            ,60.100              ,17.423              ,0.100               ,42.700              ,2673.700            ,0.200               ,41.000              ,1578.000            
80, 24-02-2023 10:14:00, 57.000              ,58.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.717             ,46.000              ,9.375               ,4299.999            ,6147.000            ,60.000              ,18.651              ,0.100               ,42.700              ,2673.700            ,0.200               ,41.000              ,1565.000            
80, 24-02-2023 10:14:01, 57.000              ,57.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.264             ,46.000              ,8.695               ,4299.999            ,6107.000            ,60.200              ,17.776              ,0.100               ,42.700              ,2673.700            ,0.200               ,41.000              ,1555.000            
80, 24-02-2023 10:14:02, 57.000              ,54.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.669             ,45.000              ,10.938              ,4299.999            ,6103.000            ,60.100              ,17.349              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1551.000            
80, 24-02-2023 10:14:03, 57.000              ,51.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.993             ,44.000              ,10.033              ,4299.999            ,6101.000            ,60.100              ,17.208              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1547.000            
80, 24-02-2023 10:14:04, 57.000              ,55.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.161             ,45.000              ,9.115               ,4299.999            ,6107.000            ,60.100              ,17.483              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1548.000            
80, 24-02-2023 10:14:05, 57.000              ,54.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.844             ,45.000              ,7.901               ,4299.999            ,6105.000            ,60.100              ,16.901              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1545.000            
80, 24-02-2023 10:14:06, 56.000              ,56.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.673             ,45.000              ,10.938              ,4299.999            ,6101.000            ,60.100              ,17.507              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1546.000            
80, 24-02-2023 10:14:07, 57.000              ,56.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.826             ,46.000              ,11.571              ,4299.999            ,6103.000            ,60.100              ,17.155              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1546.000            
80, 24-02-2023 10:14:08, 56.000              ,59.000              ,14.000              ,3803.566            ,1935.000            ,7500.999            ,114.298             ,45.000              ,10.813              ,4299.999            ,6103.000            ,60.100              ,16.872              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1539.000            
80, 24-02-2023 10:14:09, 57.000              ,55.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.376             ,45.000              ,10.677              ,4299.999            ,6104.000            ,60.100              ,17.362              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1528.000            
80, 24-02-2023 10:14:10, 56.000              ,51.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.565             ,44.000              ,9.115               ,4299.999            ,6105.000            ,60.100              ,16.969              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1518.000            
80, 24-02-2023 10:14:11, 57.000              ,55.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.994             ,45.000              ,11.198              ,4299.999            ,6104.000            ,60.100              ,17.398              ,0.100               ,42.700              ,2673.700            ,0.200               ,40.000              ,1512.000            
80, 24-02-2023 10:14:12, 56.000              ,58.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,113.272             ,45.000              ,12.240              ,4299.999            ,6106.000            ,60.100              ,17.532              ,0.100               ,42.700              ,2673.700            ,0.200               ,39.000              ,1508.000            
80, 24-02-2023 10:14:13, 56.000              ,56.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.871             ,45.000              ,8.854               ,4299.999            ,6103.000            ,60.200              ,17.501              ,0.100               ,42.700              ,2673.700            ,0.200               ,39.000              ,1509.000            
80, 24-02-2023 10:14:14, 56.000              ,53.000              ,13.000              ,3803.566            ,1935.000            ,7500.999            ,112.909             ,45.000              ,13.109              ,4299.999            ,6108.000            ,60.100              ,17.210              ,0.100               ,42.700              ,2673.700            ,0.200               ,39.000              ,1507.000            
80, 24-02-2023 10:14:15, 56.000              ,51.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.765             ,45.000              ,10.813              ,4299.998            ,6101.000            ,60.100              ,17.086              ,0.100               ,42.700              ,2673.700            ,0.200               ,39.000              ,1510.000            
80, 24-02-2023 10:14:16, 56.000              ,52.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.698             ,45.000              ,10.033              ,4300.000            ,6102.000            ,60.100              ,17.565              ,0.100               ,42.700              ,2673.700            ,0.200               ,39.000              ,1508.000            
80, 24-02-2023 10:14:17, 56.000              ,57.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.980             ,45.000              ,11.342              ,4300.000            ,6101.000            ,60.200              ,17.079              ,0.100               ,42.700              ,2673.700            ,0.200               ,39.000              ,1511.000            
80, 24-02-2023 10:14:18, 56.000              ,56.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.649             ,44.000              ,10.546              ,4299.999            ,6101.000            ,60.100              ,17.255              ,0.100               ,42.700              ,2673.700            ,0.200               ,39.000              ,1510.000            
80, 24-02-2023 10:14:19, 56.000              ,54.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.577             ,45.000              ,8.166               ,4299.999            ,6098.000            ,60.100              ,17.468              ,0.100               ,42.800              ,2673.700            ,0.200               ,39.000              ,1507.000            
80, 24-02-2023 10:14:20, 55.000              ,51.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.751             ,45.000              ,12.240              ,4299.999            ,6098.000            ,60.100              ,16.888              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1492.000            
80, 24-02-2023 10:14:21, 56.000              ,56.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,113.603             ,45.000              ,9.896               ,4299.999            ,6100.000            ,60.100              ,17.384              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1486.000            
80, 24-02-2023 10:14:22, 55.000              ,57.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,113.720             ,44.000              ,9.896               ,4299.999            ,6100.000            ,60.100              ,17.004              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1480.000            
80, 24-02-2023 10:14:23, 56.000              ,56.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,113.562             ,44.000              ,9.635               ,4299.999            ,6100.000            ,60.100              ,17.310              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1479.000            
80, 24-02-2023 10:14:24, 56.000              ,55.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.677             ,45.000              ,11.719              ,4299.999            ,6099.000            ,60.000              ,17.431              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1477.000            
80, 24-02-2023 10:14:25, 56.000              ,52.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.478             ,45.000              ,11.315              ,4299.999            ,6098.000            ,60.200              ,17.214              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1476.000            
80, 24-02-2023 10:14:26, 55.000              ,55.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.411             ,45.000              ,10.548              ,4299.999            ,6098.000            ,60.100              ,18.053              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1479.000            
80, 24-02-2023 10:14:27, 56.000              ,54.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,111.395             ,44.000              ,12.084              ,4299.999            ,6101.000            ,60.100              ,18.408              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1474.000            
80, 24-02-2023 10:14:28, 55.000              ,56.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,113.004             ,45.000              ,8.695               ,4299.999            ,6096.000            ,60.200              ,17.482              ,0.100               ,42.800              ,2673.700            ,0.200               ,38.000              ,1461.000            
80, 24-02-2023 10:14:29, 56.000              ,55.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.802             ,48.000              ,12.340              ,4299.999            ,6097.000            ,60.100              ,17.028              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1449.000            
80, 24-02-2023 10:14:30, 55.000              ,58.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,113.117             ,44.000              ,8.695               ,4299.999            ,6098.000            ,60.100              ,17.794              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1445.000            
80, 24-02-2023 10:14:31, 56.000              ,55.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.795             ,46.000              ,8.333               ,4300.000            ,6101.000            ,60.100              ,17.208              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1442.000            
80, 24-02-2023 10:14:32, 55.000              ,51.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.246             ,44.000              ,10.156              ,4299.999            ,6098.000            ,60.100              ,17.004              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1440.000            
80, 24-02-2023 10:14:33, 55.000              ,51.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,111.149             ,45.000              ,10.417              ,4299.999            ,6102.000            ,60.100              ,17.909              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1441.000            
80, 24-02-2023 10:14:34, 55.000              ,59.000              ,14.000              ,3803.316            ,1935.000            ,7500.999            ,113.760             ,45.000              ,12.853              ,4299.999            ,6099.000            ,60.100              ,17.100              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1440.000            
80, 24-02-2023 10:14:35, 55.000              ,56.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,113.005             ,45.000              ,10.283              ,4299.999            ,6098.000            ,60.100              ,17.594              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1442.000            
80, 24-02-2023 10:14:36, 55.000              ,53.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.691             ,45.000              ,11.458              ,4299.999            ,6101.000            ,60.100              ,17.365              ,0.100               ,42.800              ,2673.700            ,0.200               ,37.000              ,1440.000            
80, 24-02-2023 10:14:37, 55.000              ,52.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.430             ,46.000              ,11.719              ,4299.999            ,6099.000            ,60.200              ,16.977              ,0.100               ,42.800              ,2673.700            ,0.200               ,36.000              ,1423.000            
80, 24-02-2023 10:14:38, 55.000              ,52.000              ,13.000              ,3803.316            ,1935.000            ,7500.999            ,112.661             ,47.000              ,9.375               ,4299.999            ,6091.000            ,60.100              ,17.599              ,0.100               ,42.800              ,2673.700            ,0.200               ,36.000              ,1415.000            
80, 24-02-2023 10:14:39, 55.000              ,58.000              ,14.000              ,3803.316            ,1935.000            ,7500.999            ,113.338             ,46.000              ,8.333               ,4299.999            ,6094.000            ,60.200              ,16.983              ,0.100               ,42.900              ,2673.700            ,0.200               ,36.000              ,1411.000            
