02;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Memoryclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateMin;FramerateAvg;FramerateMax;Framerate1%Low;Fanspeed2;Fantachometer2
80;24-02-202310:31:26;50.000;35.000;6.000;6388.465;1297.000;7500.999;51.789;53.000;24.479;4299.999;5993.000;26.200;44.656;0.100;43.400;2673.700;0.200;31.000;1254.000
80;24-02-202310:31:27;49.000;40.000;7.000;6388.465;1267.000;7500.999;53.687;53.000;22.722;4299.999;5995.000;25.400;42.637;0.100;43.400;2673.700;0.200;30.000;1246.000
80;24-02-202310:31:28;49.000;34.000;7.000;6388.465;1350.000;7500.999;56.696;53.000;22.593;4299.999;5997.000;26.300;41.478;0.100;43.400;2673.700;0.200;30.000;1237.000
80;24-02-202310:31:29;49.000;34.000;7.000;6388.465;1350.000;7500.999;56.719;54.000;21.134;4299.999;5997.000;26.400;41.055;0.100;43.400;2673.700;0.200;30.000;1228.000
80;24-02-202310:31:30;47.000;4.000;2.000;6388.465;975.000;5000.996;34.619;49.000;20.798;4299.999;6042.000;7.900;508.347;0.100;43.400;2673.700;0.200;30.000;1227.000
80;24-02-202310:31:31;46.000;10.000;11.000;6388.465;652.000;810.000;29.665;49.000;21.354;4299.999;6069.000;4.900;201.126;0.100;43.400;2673.700;0.200;30.000;1226.000
80;24-02-202310:31:32;46.000;12.000;12.000;6388.465;502.000;810.000;29.441;47.000;23.177;4299.999;6161.000;0.000;0.000;0.100;43.400;2673.700;0.200;30.000;1225.000
80;24-02-202310:31:33;45.000;13.000;12.000;6388.465;345.000;810.000;29.364;47.000;22.656;4299.999;6185.000;0.000;0.000;0.100;43.400;2673.700;0.200;30.000;1226.000
80;24-02-202310:31:34;45.000;26.000;24.000;6388.465;292.000;405.000;27.948;47.000;20.833;4299.999;6211.000;0.000;0.000;0.100;43.400;2673.700;0.200;30.000;1224.000
80;24-02-202310:31:35;45.000;29.000;25.000;6388.465;262.000;405.000;28.065;47.000;22.656;4299.999;6308.000;0.000;0.000;0.100;43.400;2673.700;0.200;30.000;1222.000
80;24-02-202310:31:36;52.000;52.000;13.000;6388.465;1942.000;7500.999;108.248;50.000;26.427;4299.999;6375.000;6.800;5054.435;0.100;43.400;2673.700;0.200;30.000;1227.000
80;24-02-202310:31:37;53.000;58.000;14.000;6388.465;1942.000;7500.999;117.355;46.000;27.604;4299.999;6363.000;57.000;73.928;0.100;43.400;2673.700;0.200;30.000;1219.000
80;24-02-202310:31:38;53.000;58.000;14.000;6388.465;1942.000;7500.999;112.976;49.000;25.412;4299.999;6399.000;60.000;27.008;0.100;43.400;2673.700;0.200;30.000;1217.000
80;24-02-202310:31:39;51.000;55.000;13.000;6388.465;1942.000;7500.999;55.029;53.000;24.574;4299.999;6505.000;60.200;22.698;0.100;43.400;2673.700;0.200;30.000;1209.000
80;24-02-202310:31:40;48.000;2.000;1.000;6496.715;1942.000;7500.999;54.327;51.000;33.854;4299.999;7065.000;60.200;0.000;0.100;43.400;2673.700;0.200;30.000;1211.000
80;24-02-202310:31:41;46.000;4.000;2.000;6604.965;1057.000;5000.996;35.131;52.000;27.206;4299.999;7656.000;1.200;1538.612;0.100;43.400;2673.700;0.200;30.000;1214.000
80;24-02-202310:31:42;45.000;5.000;2.000;6604.965;705.000;5000.996;34.158;50.000;16.406;4299.999;7646.000;1.200;0.000;0.100;43.400;2673.700;0.200;30.000;1215.000
80;24-02-202310:31:43;45.000;12.000;12.000;6604.965;502.000;810.000;29.014;47.000;19.271;4299.999;7705.000;0.000;0.000;0.100;43.400;2673.700;0.200;30.000;1218.000
80;24-02-202310:31:44;45.000;99.000;62.000;6604.965;1770.000;7500.999;38.536;46.000;18.229;4299.999;7661.000;3.300;3004.150;0.100;43.300;2673.700;0.200;30.000;1227.000
80;24-02-202310:31:45;53.000;56.000;14.000;6604.965;1942.000;7500.999;115.510;44.000;12.136;4299.999;6891.000;56.800;41.204;0.100;43.300;2673.700;0.200;30.000;1223.000
80;24-02-202310:31:46;49.000;15.000;4.000;6604.965;1942.000;7500.999;84.768;55.000;15.160;4299.999;6921.000;50.200;190.778;0.100;43.300;2673.700;0.200;30.000;1221.000
80;24-02-202310:31:47;47.000;2.000;1.000;6604.965;1942.000;7500.999;54.209;61.000;19.281;4299.999;6949.000;50.200;0.000;0.100;43.300;2673.700;0.200;30.000;1213.000
80;24-02-202310:31:48;46.000;69.000;11.000;6891.465;1065.000;5000.996;50.731;45.000;25.925;4299.999;6986.000;2.400;1919.359;0.100;43.300;2673.700;0.200;30.000;1215.000
80;24-02-202310:31:49;49.000;2.000;1.000;6891.465;1935.000;7500.999;54.942;56.000;18.752;4299.999;6955.000;17.200;32.297;0.100;43.300;2673.700;0.200;30.000;1218.000
80;24-02-202310:31:50;55.000;80.000;29.000;6891.465;1927.000;7500.999;139.063;45.000;29.167;4299.999;6982.000;41.200;232.349;0.100;43.300;2673.700;0.200;30.000;1218.000
80;24-02-202310:31:51;55.000;80.000;30.000;6891.465;1935.000;7500.999;147.094;46.000;19.792;4299.998;6963.000;57.300;72.540;0.100;43.300;2673.700;0.200;30.000;1214.000
80;24-02-202310:31:52;50.000;15.000;6.000;6891.465;1935.000;7500.999;54.927;49.000;24.387;4299.998;6975.000;59.800;31.724;0.100;43.300;2673.700;0.200;30.000;1212.000
80;24-02-202310:31:53;50.000;48.000;18.000;6891.465;1935.000;7500.999;67.873;52.000;20.605;4300.000;6977.000;24.000;251.436;0.100;43.300;2673.700;0.200;30.000;1212.000
80;24-02-202310:31:54;49.000;2.000;1.000;6891.465;1935.000;7500.999;54.685;52.000;27.865;4300.000;7000.000;28.400;256.735;0.100;43.300;2673.700;0.200;30.000;1214.000
80;24-02-202310:31:55;52.000;18.000;7.000;6891.465;1935.000;7500.999;86.033;46.000;27.083;4299.999;6891.000;21.200;236.842;0.100;43.300;2673.700;0.200;30.000;1216.000
80;24-02-202310:31:56;53.000;69.000;26.000;6891.465;1935.000;7500.999;126.865;53.000;25.260;4299.999;6874.000;49.800;34.819;0.100;43.300;2673.700;0.200;30.000;1214.000
80;24-02-202310:31:57;49.000;2.000;1.000;6891.465;1935.000;7500.999;54.630;53.000;26.302;4299.998;6912.000;52.600;98.783;0.100;43.300;2673.700;0.200;30.000;1214.000
