02, Datetime, GPU temperature     ,GPU usage           ,FB usage            ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Fan speed 2         ,Fan tachometer 2
80, 24-02-2023 10:24:31, 60.000              ,99.000              ,37.000              ,5330.277            ,1912.000            ,7500.999            ,164.178             ,48.000              ,37.542              ,4299.999            ,7451.000            ,46.900              ,22.993              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1202.000            
80, 24-02-2023 10:24:32, 60.000              ,99.000              ,37.000              ,5330.277            ,1912.000            ,7500.999            ,165.055             ,50.000              ,32.292              ,4299.999            ,7594.000            ,47.200              ,22.611              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1203.000            
80, 24-02-2023 10:24:33, 61.000              ,99.000              ,38.000              ,5330.277            ,1912.000            ,7500.999            ,162.875             ,54.000              ,34.896              ,4299.998            ,7714.000            ,47.200              ,22.200              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1204.000            
80, 24-02-2023 10:24:34, 60.000              ,99.000              ,38.000              ,5330.277            ,1920.000            ,7500.999            ,163.510             ,54.000              ,33.333              ,4300.001            ,7823.000            ,47.100              ,22.598              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1205.000            
80, 24-02-2023 10:24:35, 60.000              ,99.000              ,35.000              ,5330.277            ,1920.000            ,7500.999            ,162.526             ,52.000              ,34.896              ,4299.999            ,7940.000            ,44.200              ,91.454              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1200.000            
80, 24-02-2023 10:24:36, 61.000              ,99.000              ,34.000              ,5330.277            ,1920.000            ,7500.999            ,162.526             ,51.000              ,35.417              ,4299.999            ,7933.000            ,46.400              ,22.730              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1200.000            
80, 24-02-2023 10:24:37, 61.000              ,99.000              ,35.000              ,5330.277            ,1920.000            ,7500.999            ,162.703             ,50.000              ,34.631              ,4299.999            ,7936.000            ,46.300              ,22.642              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1201.000            
80, 24-02-2023 10:24:38, 61.000              ,99.000              ,34.000              ,5330.277            ,1920.000            ,7500.999            ,163.187             ,54.000              ,35.417              ,4299.999            ,7991.000            ,46.500              ,22.845              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1205.000            
80, 24-02-2023 10:24:39, 61.000              ,99.000              ,35.000              ,5330.277            ,1920.000            ,7500.999            ,161.777             ,50.000              ,33.594              ,4299.999            ,8021.000            ,46.400              ,22.768              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1202.000            
80, 24-02-2023 10:24:40, 61.000              ,99.000              ,35.000              ,5330.277            ,1920.000            ,7500.999            ,162.192             ,53.000              ,34.635              ,4299.999            ,8015.000            ,46.400              ,22.692              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1203.000            
80, 24-02-2023 10:24:41, 61.000              ,99.000              ,35.000              ,5330.277            ,1920.000            ,7500.999            ,159.760             ,52.000              ,33.614              ,4299.999            ,8010.000            ,46.400              ,23.559              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1203.000            
80, 24-02-2023 10:24:42, 61.000              ,99.000              ,34.000              ,5330.277            ,1920.000            ,7500.999            ,161.410             ,51.000              ,31.985              ,4300.000            ,8056.000            ,46.600              ,22.629              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1202.000            
80, 24-02-2023 10:24:43, 61.000              ,99.000              ,36.000              ,5330.277            ,1920.000            ,7500.999            ,161.593             ,50.000              ,35.677              ,4300.000            ,8055.000            ,46.500              ,22.824              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1202.000            
80, 24-02-2023 10:24:44, 61.000              ,99.000              ,34.000              ,5330.277            ,1920.000            ,7500.999            ,162.032             ,53.000              ,34.896              ,4299.999            ,8045.000            ,46.500              ,22.556              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1202.000            
80, 24-02-2023 10:24:45, 61.000              ,99.000              ,35.000              ,5330.277            ,1912.000            ,7500.999            ,162.704             ,48.000              ,38.866              ,4299.999            ,8031.000            ,46.700              ,22.625              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1202.000            
80, 24-02-2023 10:24:46, 62.000              ,99.000              ,36.000              ,5330.277            ,1912.000            ,7500.999            ,160.919             ,48.000              ,36.719              ,4299.999            ,8111.000            ,46.700              ,23.549              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1202.000            
80, 24-02-2023 10:24:47, 61.000              ,99.000              ,35.000              ,5330.277            ,1920.000            ,7500.999            ,161.362             ,51.000              ,36.458              ,4299.999            ,8092.000            ,46.700              ,22.985              ,0.100               ,43.100              ,2673.700            ,0.200               ,30.000              ,1204.000            
