02,Datetime,GPUtemperature,GPUusage,FBusage,Memoryusage,Coreclock,Memoryclock,Power,CPUtemperature,CPUusage,CPUclock,RAMusage,Framerate,Frametime,FramerateMin,FramerateAvg,FramerateMax,Framerate1%Low,Fanspeed2,Fantachometer2
80,24-02-202314:30:54,49.000,39.000,8.000,4757.664,915.000,5000.996,36.053,52.000,62.240,4299.999,11628.000,251.200,22.441,0.800,76.700,1552.700,0.800,30.000,1352.000
80,24-02-202314:30:55,48.000,40.000,8.000,4757.664,922.000,5000.996,36.242,52.000,65.365,4299.999,11596.000,253.900,6.284,0.800,77.700,1552.700,0.800,30.000,1319.000
80,24-02-202314:30:56,48.000,39.000,8.000,4757.664,945.000,5000.996,36.386,51.000,75.260,4299.998,11579.000,252.700,11.008,0.800,78.700,1552.700,0.800,30.000,1281.000
80,24-02-202314:30:57,57.000,98.000,30.000,4821.664,1935.000,7500.999,159.030,50.000,59.375,4299.998,11560.000,92.700,39.249,0.800,78.700,1552.700,0.800,30.000,1258.000
80,24-02-202314:30:58,59.000,98.000,34.000,4823.664,1935.000,7500.999,161.915,48.000,65.365,4299.998,11563.000,59.900,20.280,0.800,78.600,1552.700,0.800,30.000,1239.000
80,24-02-202314:30:59,59.000,98.000,34.000,4823.664,1920.000,7500.999,161.569,48.000,56.510,4299.998,11560.000,60.400,18.526,0.800,78.500,1552.700,0.800,30.000,1227.000
80,24-02-202314:31:00,59.000,97.000,35.000,4823.664,1920.000,7500.999,162.029,50.000,62.240,4299.998,11560.000,59.800,18.143,0.800,78.400,1552.700,0.800,30.000,1214.000
80,24-02-202314:31:01,60.000,98.000,35.000,4823.664,1920.000,7500.999,162.557,50.000,65.365,4299.997,11640.000,59.900,19.082,0.800,78.300,1552.700,0.800,30.000,1214.000
80,24-02-202314:31:02,60.000,98.000,35.000,4823.664,1920.000,7500.999,162.282,48.000,61.979,4299.999,11628.000,59.800,18.086,0.800,78.200,1552.700,0.800,30.000,1207.000
80,24-02-202314:31:03,60.000,98.000,35.000,4823.664,1912.000,7500.999,162.232,49.000,59.375,4299.999,11623.000,59.800,21.010,0.800,78.100,1552.700,0.800,30.000,1208.000
80,24-02-202314:31:04,60.000,98.000,35.000,4823.664,1920.000,7500.999,162.422,49.000,58.333,4299.999,11619.000,59.900,20.764,0.800,78.000,1552.700,0.800,30.000,1208.000
80,24-02-202314:31:05,60.000,97.000,34.000,4823.664,1920.000,7500.999,157.805,50.000,70.052,4299.997,11720.000,57.100,22.089,0.800,77.900,1552.700,0.800,30.000,1204.000
